timestamp,flow,concentration,lat,long,siteId
2021-07-03T08:40:10,26,0.0,0.0,0.0,GB0401_V
2021-07-03T08:40:10,26,0.0,0.0,0.0,GB0401_X
2021-07-03T08:40:10,9,0.0,0.0,0.0,GB0501_A
2021-07-03T08:40:10,0,0.0,0.0,0.0,GB0551_T
2021-07-03T08:40:10,4,0.0,0.0,0.0,GB0601_B
2021-07-03T08:40:10,9,0.0,0.0,0.0,GB0601_D
2021-07-03T08:40:10,17,0.0,0.0,0.0,GB0651_R
2021-07-03T08:40:10,34,0.0,0.0,0.0,GB0651_T
2021-07-03T08:40:10,13,0.0,0.0,0.0,GB0651_V
2021-07-03T08:40:10,22,0.0,0.0,0.0,GB0701_D
2021-07-03T08:40:10,18,0.0,0.0,0.0,GB0751_S
2021-07-03T08:40:10,21,0.0,0.0,0.0,GB0751_T
2021-07-03T08:40:10,9,0.0,0.0,0.0,GB1101_A
2021-07-03T08:40:10,7,0.0,0.0,0.0,GB1101_B
2021-07-03T08:40:10,18,0.0,0.0,0.0,GB1151_V
2021-07-03T08:40:10,9,0.0,0.0,0.0,GB1201_A
2021-07-03T08:40:10,15,0.0,0.0,0.0,GB1271_B
2021-07-03T08:40:10,0,0.0,0.0,0.0,GB1271_C
2021-07-03T08:40:10,16,0.0,0.0,0.0,GB1271_D
2021-07-03T08:40:10,13,0.0,0.0,0.0,GB1281_L
2021-07-03T08:40:10,14,0.0,0.0,0.0,GB1301_T
2021-07-03T08:40:10,4,0.0,0.0,0.0,GB1321_M
2021-07-03T08:40:10,4,0.0,0.0,0.0,GB1351_A
2021-07-03T08:40:10,13,0.0,0.0,0.0,GB1351_C
2021-07-03T08:40:10,0,0.0,0.0,0.0,GB1351_F
2021-07-03T08:40:10,4,0.0,0.0,0.0,GB1371_S
2021-07-03T08:40:10,2,0.0,0.0,0.0,GB1371_T
2021-07-03T08:40:10,2,0.0,0.0,0.0,GB1371_V
2021-07-03T08:40:10,7,0.0,0.0,0.0,GB145A_R
2021-07-03T08:40:10,0,0.0,0.0,0.0,GB1551_S
2021-07-03T08:40:10,0,0.0,0.0,0.0,GB1551_T
2021-07-03T08:40:10,4,0.0,0.0,0.0,GB1601_A
2021-07-03T08:40:10,3,0.0,0.0,0.0,GB1601_B
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0051_D
2021-07-03T08:40:10,7,0.0,0.0,0.0,GC0051_E
2021-07-03T08:40:10,9,0.0,0.0,0.0,GC0051_G
2021-07-03T08:40:10,0,0.0,0.0,0.0,GC0101_T
2021-07-03T08:40:10,0,0.0,0.0,0.0,GC0101_V
2021-07-03T08:40:10,0,0.0,0.0,0.0,GC0101_W
2021-07-03T08:40:10,0,0.0,0.0,0.0,GC012A_M
2021-07-03T08:40:10,7,0.0,0.0,0.0,GC0151_B
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0151_E
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0201_C
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0201_D
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0271_A
2021-07-03T08:40:10,0,0.0,0.0,0.0,GC0271_B
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0271_D
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0301_R
2021-07-03T08:40:10,13,0.0,0.0,0.0,GC0301_T
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC0321_A
2021-07-03T08:40:10,9,0.0,0.0,0.0,GC0321_B
2021-07-03T08:40:10,0,0.0,0.0,0.0,GC0321_D
2021-07-03T08:40:10,12,0.0,0.0,0.0,GC120A_G
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC125A_E
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC125A_F
2021-07-03T08:40:10,4,0.0,0.0,0.0,GC1301_T
2021-07-03T08:40:10,0,0.0,0.0,0.0,GC1301_V
